Created as New Dataset,Sample 097 By Administrator Date Friday, September 05 2025
cm-1,A
4000.00,0.0018
3999.00,0.0018
3998.00,0.0018
3997.00,0.0018
3996.00,0.0018
3995.00,0.0018
3994.00,0.0018
3993.00,0.0018
3992.00,0.0018
3991.00,0.0018
3990.00,0.0018
3989.00,0.0017
3988.00,0.0017
3987.00,0.0017
3986.00,0.0017
3985.00,0.0017
3984.00,0.0017
3983.00,0.0017
3982.00,0.0017
3981.00,0.0017
3980.00,0.0017
3979.00,0.0017
3978.00,0.0017
3977.00,0.0016
3976.00,0.0016
3975.00,0.0016
3974.00,0.0016
3973.00,0.0016
3972.00,0.0016
3971.00,0.0016
3970.00,0.0016
3969.00,0.0016
3968.00,0.0016
3967.00,0.0016
3966.00,0.0016
3965.00,0.0016
3964.00,0.0016
3963.00,0.0016
3962.00,0.0016
3961.00,0.0016
3960.00,0.0016
3959.00,0.0016
3958.00,0.0016
3957.00,0.0016
3956.00,0.0015
3955.00,0.0015
3954.00,0.0015
3953.00,0.0016
3952.00,0.0016
3951.00,0.0016
3950.00,0.0016
3949.00,0.0016
3948.00,0.0016
3947.00,0.0016
3946.00,0.0016
3945.00,0.0016
3944.00,0.0017
3943.00,0.0017
3942.00,0.0017
3941.00,0.0016
3940.00,0.0016
3939.00,0.0016
3938.00,0.0016
3937.00,0.0016
3936.00,0.0016
3935.00,0.0016
3934.00,0.0016
3933.00,0.0016
3932.00,0.0016
3931.00,0.0016
3930.00,0.0016
3929.00,0.0015
3928.00,0.0015
3927.00,0.0016
3926.00,0.0016
3925.00,0.0016
3924.00,0.0016
3923.00,0.0016
3922.00,0.0016
3921.00,0.0016
3920.00,0.0016
3919.00,0.0016
3918.00,0.0016
3917.00,0.0016
3916.00,0.0016
3915.00,0.0016
3914.00,0.0016
3913.00,0.0016
3912.00,0.0016
3911.00,0.0016
3910.00,0.0015
3909.00,0.0015
3908.00,0.0015
3907.00,0.0014
3906.00,0.0014
3905.00,0.0014
3904.00,0.0014
3903.00,0.0014
3902.00,0.0014
3901.00,0.0014
3900.00,0.0014
3899.00,0.0014
3898.00,0.0014
3897.00,0.0015
3896.00,0.0014
3895.00,0.0014
3894.00,0.0014
3893.00,0.0014
3892.00,0.0014
3891.00,0.0014
3890.00,0.0014
3889.00,0.0014
3888.00,0.0014
3887.00,0.0014
3886.00,0.0014
3885.00,0.0014
3884.00,0.0014
3883.00,0.0014
3882.00,0.0014
3881.00,0.0015
3880.00,0.0015
3879.00,0.0015
3878.00,0.0015
3877.00,0.0015
3876.00,0.0014
3875.00,0.0014
3874.00,0.0014
3873.00,0.0015
3872.00,0.0015
3871.00,0.0015
3870.00,0.0015
3869.00,0.0014
3868.00,0.0014
3867.00,0.0014
3866.00,0.0014
3865.00,0.0014
3864.00,0.0014
3863.00,0.0014
3862.00,0.0014
3861.00,0.0014
3860.00,0.0014
3859.00,0.0014
3858.00,0.0015
3857.00,0.0015
3856.00,0.0015
3855.00,0.0014
3854.00,0.0014
3853.00,0.0015
3852.00,0.0015
3851.00,0.0015
3850.00,0.0014
3849.00,0.0014
3848.00,0.0014
3847.00,0.0014
3846.00,0.0014
3845.00,0.0014
3844.00,0.0014
3843.00,0.0014
3842.00,0.0013
3841.00,0.0013
3840.00,0.0014
3839.00,0.0014
3838.00,0.0015
3837.00,0.0015
3836.00,0.0015
3835.00,0.0014
3834.00,0.0014
3833.00,0.0014
3832.00,0.0013
3831.00,0.0013
3830.00,0.0014
3829.00,0.0014
3828.00,0.0014
3827.00,0.0014
3826.00,0.0014
3825.00,0.0013
3824.00,0.0013
3823.00,0.0013
3822.00,0.0014
3821.00,0.0014
3820.00,0.0014
3819.00,0.0014
3818.00,0.0014
3817.00,0.0015
3816.00,0.0015
3815.00,0.0015
3814.00,0.0015
3813.00,0.0015
3812.00,0.0015
3811.00,0.0015
3810.00,0.0015
3809.00,0.0015
3808.00,0.0015
3807.00,0.0015
3806.00,0.0015
3805.00,0.0015
3804.00,0.0015
3803.00,0.0015
3802.00,0.0015
3801.00,0.0015
3800.00,0.0015
3799.00,0.0014
3798.00,0.0014
3797.00,0.0014
3796.00,0.0014
3795.00,0.0014
3794.00,0.0014
3793.00,0.0014
3792.00,0.0014
3791.00,0.0014
3790.00,0.0015
3789.00,0.0015
3788.00,0.0015
3787.00,0.0015
3786.00,0.0015
3785.00,0.0015
3784.00,0.0014
3783.00,0.0014
3782.00,0.0014
3781.00,0.0014
3780.00,0.0014
3779.00,0.0015
3778.00,0.0015
3777.00,0.0015
3776.00,0.0015
3775.00,0.0014
3774.00,0.0014
3773.00,0.0014
3772.00,0.0014
3771.00,0.0014
3770.00,0.0014
3769.00,0.0014
3768.00,0.0014
3767.00,0.0014
3766.00,0.0015
3765.00,0.0015
3764.00,0.0016
3763.00,0.0016
3762.00,0.0016
3761.00,0.0016
3760.00,0.0016
3759.00,0.0015
3758.00,0.0015
3757.00,0.0015
3756.00,0.0014
3755.00,0.0014
3754.00,0.0013
3753.00,0.0013
3752.00,0.0012
3751.00,0.0012
3750.00,0.0012
3749.00,0.0012
3748.00,0.0013
3747.00,0.0013
3746.00,0.0014
3745.00,0.0014
3744.00,0.0014
3743.00,0.0013
3742.00,0.0013
3741.00,0.0013
3740.00,0.0013
3739.00,0.0012
3738.00,0.0012
3737.00,0.0012
3736.00,0.0012
3735.00,0.0012
3734.00,0.0013
3733.00,0.0013
3732.00,0.0014
3731.00,0.0014
3730.00,0.0014
3729.00,0.0014
3728.00,0.0014
3727.00,0.0014
3726.00,0.0014
3725.00,0.0014
3724.00,0.0014
3723.00,0.0014
3722.00,0.0014
3721.00,0.0014
3720.00,0.0014
3719.00,0.0013
3718.00,0.0013
3717.00,0.0013
3716.00,0.0012
3715.00,0.0012
3714.00,0.0012
3713.00,0.0012
3712.00,0.0012
3711.00,0.0012
3710.00,0.0012
3709.00,0.0012
3708.00,0.0012
3707.00,0.0013
3706.00,0.0013
3705.00,0.0014
3704.00,0.0014
3703.00,0.0014
3702.00,0.0014
3701.00,0.0013
3700.00,0.0013
3699.00,0.0013
3698.00,0.0013
3697.00,0.0013
3696.00,0.0013
3695.00,0.0013
3694.00,0.0013
3693.00,0.0013
3692.00,0.0012
3691.00,0.0012
3690.00,0.0013
3689.00,0.0013
3688.00,0.0014
3687.00,0.0014
3686.00,0.0014
3685.00,0.0014
3684.00,0.0014
3683.00,0.0013
3682.00,0.0013
3681.00,0.0013
3680.00,0.0012
3679.00,0.0012
3678.00,0.0012
3677.00,0.0012
3676.00,0.0012
3675.00,0.0013
3674.00,0.0013
3673.00,0.0013
3672.00,0.0013
3671.00,0.0013
3670.00,0.0014
3669.00,0.0014
3668.00,0.0014
3667.00,0.0014
3666.00,0.0014
3665.00,0.0014
3664.00,0.0013
3663.00,0.0013
3662.00,0.0014
3661.00,0.0014
3660.00,0.0014
3659.00,0.0013
3658.00,0.0013
3657.00,0.0013
3656.00,0.0013
3655.00,0.0013
3654.00,0.0013
3653.00,0.0013
3652.00,0.0012
3651.00,0.0012
3650.00,0.0011
3649.00,0.0011
3648.00,0.0012
3647.00,0.0013
3646.00,0.0013
3645.00,0.0014
3644.00,0.0014
3643.00,0.0015
3642.00,0.0015
3641.00,0.0015
3640.00,0.0015
3639.00,0.0015
3638.00,0.0015
3637.00,0.0015
3636.00,0.0015
3635.00,0.0015
3634.00,0.0014
3633.00,0.0014
3632.00,0.0014
3631.00,0.0013
3630.00,0.0014
3629.00,0.0014
3628.00,0.0015
3627.00,0.0016
3626.00,0.0016
3625.00,0.0016
3624.00,0.0016
3623.00,0.0016
3622.00,0.0016
3621.00,0.0015
3620.00,0.0015
3619.00,0.0015
3618.00,0.0016
3617.00,0.0016
3616.00,0.0017
3615.00,0.0018
3614.00,0.0018
3613.00,0.0019
3612.00,0.0018
3611.00,0.0018
3610.00,0.0018
3609.00,0.0018
3608.00,0.0018
3607.00,0.0018
3606.00,0.0019
3605.00,0.0019
3604.00,0.0019
3603.00,0.0019
3602.00,0.0020
3601.00,0.0020
3600.00,0.0021
3599.00,0.0021
3598.00,0.0021
3597.00,0.0021
3596.00,0.0021
3595.00,0.0021
3594.00,0.0022
3593.00,0.0022
3592.00,0.0022
3591.00,0.0022
3590.00,0.0022
3589.00,0.0023
3588.00,0.0023
3587.00,0.0023
3586.00,0.0023
3585.00,0.0023
3584.00,0.0023
3583.00,0.0023
3582.00,0.0023
3581.00,0.0023
3580.00,0.0023
3579.00,0.0023
3578.00,0.0023
3577.00,0.0024
3576.00,0.0024
3575.00,0.0024
3574.00,0.0025
3573.00,0.0025
3572.00,0.0025
3571.00,0.0025
3570.00,0.0025
3569.00,0.0025
3568.00,0.0026
3567.00,0.0027
3566.00,0.0027
3565.00,0.0027
3564.00,0.0027
3563.00,0.0027
3562.00,0.0028
3561.00,0.0028
3560.00,0.0029
3559.00,0.0029
3558.00,0.0029
3557.00,0.0029
3556.00,0.0029
3555.00,0.0029
3554.00,0.0030
3553.00,0.0030
3552.00,0.0030
3551.00,0.0030
3550.00,0.0030
3549.00,0.0030
3548.00,0.0030
3547.00,0.0030
3546.00,0.0031
3545.00,0.0031
3544.00,0.0031
3543.00,0.0031
3542.00,0.0031
3541.00,0.0032
3540.00,0.0032
3539.00,0.0032
3538.00,0.0032
3537.00,0.0032
3536.00,0.0032
3535.00,0.0033
3534.00,0.0033
3533.00,0.0033
3532.00,0.0033
3531.00,0.0033
3530.00,0.0033
3529.00,0.0034
3528.00,0.0035
3527.00,0.0035
3526.00,0.0035
3525.00,0.0035
3524.00,0.0035
3523.00,0.0035
3522.00,0.0035
3521.00,0.0035
3520.00,0.0035
3519.00,0.0036
3518.00,0.0036
3517.00,0.0036
3516.00,0.0036
3515.00,0.0037
3514.00,0.0037
3513.00,0.0037
3512.00,0.0038
3511.00,0.0037
3510.00,0.0037
3509.00,0.0037
3508.00,0.0037
3507.00,0.0037
3506.00,0.0037
3505.00,0.0037
3504.00,0.0038
3503.00,0.0038
3502.00,0.0038
3501.00,0.0039
3500.00,0.0039
3499.00,0.0040
3498.00,0.0040
3497.00,0.0040
3496.00,0.0040
3495.00,0.0040
3494.00,0.0040
3493.00,0.0041
3492.00,0.0041
3491.00,0.0042
3490.00,0.0042
3489.00,0.0042
3488.00,0.0042
3487.00,0.0042
3486.00,0.0041
3485.00,0.0041
3484.00,0.0041
3483.00,0.0042
3482.00,0.0042
3481.00,0.0043
3480.00,0.0043
3479.00,0.0044
3478.00,0.0044
3477.00,0.0044
3476.00,0.0045
3475.00,0.0045
3474.00,0.0045
3473.00,0.0045
3472.00,0.0046
3471.00,0.0046
3470.00,0.0046
3469.00,0.0045
3468.00,0.0045
3467.00,0.0046
3466.00,0.0046
3465.00,0.0046
3464.00,0.0046
3463.00,0.0046
3462.00,0.0046
3461.00,0.0047
3460.00,0.0048
3459.00,0.0048
3458.00,0.0048
3457.00,0.0048
3456.00,0.0048
3455.00,0.0048
3454.00,0.0048
3453.00,0.0049
3452.00,0.0049
3451.00,0.0049
3450.00,0.0049
3449.00,0.0049
3448.00,0.0049
3447.00,0.0050
3446.00,0.0050
3445.00,0.0051
3444.00,0.0051
3443.00,0.0051
3442.00,0.0051
3441.00,0.0051
3440.00,0.0051
