sample,pe_pct,ch2_ch3_ratio
PP_PE 90-10,10.0,0.5026
PP_PE 90:10,10.0,0.51
90PP_10PE,10.0,0.51
PP_PE 90:10,10.0,0.5026
PP_PE 80:20,20.0,0.4955
80PP_20PE,20.0,0.4955
PP_PE 80:20,20.0,0.4773
PP_PE 80-20,20.0,0.4773
PP_PE 70-30,30.0,0.443
PP_PE 70:30,30.0,0.443
PP_PE 70:30,30.0,0.2359
PP_PE 70:30,30.0,0.4137
70PP_30PE,30.0,0.4137
PP_PE 60-40,40.0,0.5025
PP_PE 60:40,40.0,0.4983
PP_PE 60:40,40.0,0.5025
PP_PE 50-50,50.0,0.3093
PP_PE 50:50,50.0,0.3093
PP_PE 50:50,50.0,0.2733
50PP_50PE,50.0,0.2733
PP_PE 40-60,60.0,0.2852
PP_PE 40:60,60.0,0.2852
40PP_60PE,60.0,0.3164
PP_PE 40:60,60.0,0.3164
PP_PE 30:70,70.0,0.1629
30PP_70PE,70.0,0.2359
PP_PE 30-70,70.0,0.1629
PP_PE 20:80,80.0,0.1292
PP_PE 20:80,80.0,0.1323
20PP_80PE,80.0,0.1292
PP_PE 20-80,80.0,0.1323
PP_PE 10:90,90.0,0.0347
PP_PE 10-90,90.0,0.1049
PP_PE 10:90,90.0,0.1049
10PP_90PE,90.0,0.0347
