sample,pe_pct,ch2_ch3_ratio
90PP_10UHMWPE,10.0,0.4725
PP_UHMWPE 90:10,10.0,0.4662
PP_UHMWPE 90:10,10.0,0.4725
PP_UHMWPE 80:20,20.0,0.3903
80PP_20UHMWPE,20.0,0.3903
PP_UHMWPE 80:20,20.0,0.3906
PP_UHMWPE 70:30,30.0,0.3456
70PP_30UHMWPE,30.0,0.3456
PP_UHMWPE 70:30,30.0,0.339
PP_UHMWPE 60:40,40.0,0.3075
60PP_40UHMWPE,40.0,0.2988
PP_UHMWPE 60:40,40.0,0.2988
PP_UHMWPE 50:50,50.0,0.2426
50PP_50UHMWPE,50.0,0.208
PP_UHMWPE 50:50,50.0,0.208
PP_UHMWPE 40:60,60.0,0.1547
40PP_60UHMWPE,60.0,0.1826
PP_UHMWPE 40:60,60.0,0.1826
PP_UHMWPE 30:70,70.0,0.2246
30PP_70UHMWPE,70.0,0.1281
PP_UHMWPE 30:70,70.0,0.1281
PP_UHMWPE 20:80,80.0,0.0988
PP_UHMWPE 20:80,80.0,0.1564
20PP_80UHMWPE,80.0,0.0988
PP_UHMWPE 10:90,90.0,0.0332
PP_UHMWPE 10:90,90.0,0.041
10PP_90UHMWPE,90.0,0.041
