sample,pe_pct,ch2_ch3_ratio
PP_UHMWPE 90:10,10.0,1.2927
90PP_10PE,10.0,1.1155
90PP_10UHMWPE,10.0,1.37
PP_UHMWPE 90:10,10.0,1.37
PP_PE 90:10,10.0,1.1671
PP_PE 90:10,10.0,1.1155
PP_UHMWPE 80:20,20.0,1.8992
80PP_20PE,20.0,1.2299
PP_PE 80:20,20.0,1.2668
80PP_20UHMWPE,20.0,1.9083
PP_UHMWPE 80:20,20.0,1.9083
PP_PE 80:20,20.0,1.2299
PP_PE 70:30,30.0,3.9324
PP_UHMWPE 70:30,30.0,2.3104
PP_UHMWPE 70:30,30.0,2.2681
PP_PE 70:30,30.0,1.7253
70PP_30PE,30.0,1.7253
70PP_30UHMWPE,30.0,2.3104
PP_PE 70:30,30.0,1.4876
PP_UHMWPE 60:40,40.0,2.8694
PP_UHMWPE 60:40,40.0,2.961
PP_PE 60:40,40.0,1.2008
60PP_40PE,40.0,1.1948
60PP_40UHMWPE,40.0,2.8694
PP_PE 60:40,40.0,1.1948
PP_PE 50:50,50.0,3.0142
50PP_50UHMWPE,50.0,5.4394
2PP_1PE_1UHMWPE-SPL3,50.0,2.9327
2PP_1PE_1UHMWPE-SPL2,50.0,3.0728
2PP_1PE_1UHMWPE-SPL1,50.0,3.9838
PP_PE 50:50,50.0,2.6044
PP_UHMWPE 50:50,50.0,5.4394
PP_UHMWPE 50:50,50.0,4.0336
50PP_50PE,50.0,3.0142
40PP_60UHMWPE,60.0,6.6315
40PP_60PE,60.0,2.4876
PP_PE 40:60,60.0,3.0081
PP_PE 40:60,60.0,2.4876
PP_UHMWPE 40:60,60.0,6.6315
PP_UHMWPE 40:60,60.0,8.2063
1PP_1PE_1UHMWPE-SPL1,66.7,5.8443
1PP_1PE_1UHMWPE-SPL2,66.7,6.1868
1PP_1PE_1UHMWPE-SPL3,66.7,7.3023
PP_UHMWPE 30:70,70.0,11.4378
PP_PE 30:70,70.0,7.5262
PP_UHMWPE 30:70,70.0,4.2295
30PP_70UHMWPE,70.0,11.4378
30PP_70PE,70.0,3.9324
1PP_2PE_1UHMWPE-SPL2,75.0,9.9681
1PP_2PE_1UHMWPE-SPL3,75.0,13.9282
1PP_1PE_2UHMWPE-SPL1,75.0,12.1922
1PP_2PE_1UHMWPE-SPL1,75.0,6.7361
1PP_1PE_2UHMWPE-SPL3,75.0,6.1634
1PP_1PE_2UHMWPE-SPL2,75.0,12.6543
PP_UHMWPE 20:80,80.0,8.6585
PP_PE 20:80,80.0,11.4344
20PP_80PE,80.0,11.4344
20PP_80UHMWPE,80.0,22.0034
PP_PE 20:80,80.0,10.2892
PP_UHMWPE 20:80,80.0,22.0034
PP_PE 10:90,90.0,21.6847
PP_PE 10:90,90.0,21.7122
