file,dish_id,group,grid_pos,area_1376,area_1462,ratio_1376_1462,720cm_PE_flag
KDC1(OPAQUE)_1A.csv,KDC1,Opaque,1A,1.277982,2.5169,0.5078,True
KDC1(OPAQUE)_1B.csv,KDC1,Opaque,1B,1.085482,2.1756,0.4989,True
KDC1(OPAQUE)_1C.csv,KDC1,Opaque,1C,0.499964,1.0556,0.4736,True
KDC1(OPAQUE)_1D.csv,KDC1,Opaque,1D,1.250109,2.4745,0.5052,True
KDC1(OPAQUE)_1E.csv,KDC1,Opaque,1E,0.608555,1.2508,0.4865,True
KDC1(OPAQUE)_2A.csv,KDC1,Opaque,2A,1.250045,2.4783,0.5044,True
KDC1(OPAQUE)_2B.csv,KDC1,Opaque,2B,0.957445,2.0315,0.4713,True
KDC1(OPAQUE)_2C.csv,KDC1,Opaque,2C,0.932727,1.9109,0.4881,True
KDC1(OPAQUE)_2D.csv,KDC1,Opaque,2D,1.097,2.2555,0.4864,True
KDC1(OPAQUE)_2E.csv,KDC1,Opaque,2E,1.196409,2.4072,0.497,True
KDC1(OPAQUE)_3A.csv,KDC1,Opaque,3A,1.249173,2.4452,0.5109,True
KDC1(OPAQUE)_3B.csv,KDC1,Opaque,3B,1.179536,2.3726,0.4971,True
KDC1(OPAQUE)_3C.csv,KDC1,Opaque,3C,1.081255,2.2365,0.4835,True
KDC1(OPAQUE)_3D.csv,KDC1,Opaque,3D,1.145882,2.3213,0.4936,True
KDC1(OPAQUE)_3E.csv,KDC1,Opaque,3E,1.208209,2.4478,0.4936,True
KDC1(OPAQUE)_4A.csv,KDC1,Opaque,4A,0.953664,2.0091,0.4747,True
KDC1(OPAQUE)_4B.csv,KDC1,Opaque,4B,1.205836,2.4006,0.5023,True
KDC1(OPAQUE)_4C.csv,KDC1,Opaque,4C,1.098218,2.2324,0.4919,True
KDC1(OPAQUE)_4D.csv,KDC1,Opaque,4D,1.152755,2.4115,0.478,True
KDC1(OPAQUE)_4E.csv,KDC1,Opaque,4E,1.1259,2.3686,0.4753,True
KDC1(OPAQUE)_5A.csv,KDC1,Opaque,5A,1.250327,2.4063,0.5196,True
KDC1(OPAQUE)_5B.csv,KDC1,Opaque,5B,1.220909,2.4053,0.5076,True
KDC1(OPAQUE)_5C.csv,KDC1,Opaque,5C,1.176191,2.3717,0.4959,True
KDC1(OPAQUE)_5D.csv,KDC1,Opaque,5D,1.121291,2.3762,0.4719,True
KDC1(OPAQUE)_5E.csv,KDC1,Opaque,5E,1.084455,2.3075,0.47,True
KDC10_1A.csv,KDC10,Clear,1A,1.667955,2.8247,0.5905,True
KDC10_1B.csv,KDC10,Clear,1B,1.632118,2.8401,0.5747,True
KDC10_1C.csv,KDC10,Clear,1C,1.493455,2.8035,0.5327,True
KDC10_1D.csv,KDC10,Clear,1D,1.399382,2.7819,0.503,True
KDC10_1E.csv,KDC10,Clear,1E,1.391573,2.7781,0.5009,True
KDC10_2A.csv,KDC10,Clear,2A,1.663673,2.8102,0.592,True
KDC10_2B.csv,KDC10,Clear,2B,1.630718,2.7738,0.5879,True
KDC10_2C.csv,KDC10,Clear,2C,1.470573,2.6838,0.5479,True
KDC10_2D.csv,KDC10,Clear,2D,1.364048,2.7457,0.4968,True
KDC10_2E.csv,KDC10,Clear,2E,1.406212,2.767,0.5082,True
KDC10_3A.csv,KDC10,Clear,3A,1.588436,2.7899,0.5694,True
KDC10_3B.csv,KDC10,Clear,3B,1.585255,2.7852,0.5692,True
KDC10_3C.csv,KDC10,Clear,3C,1.069445,2.0799,0.5142,True
KDC10_3D.csv,KDC10,Clear,3D,1.558518,2.7912,0.5584,True
KDC10_3E.csv,KDC10,Clear,3E,1.5578,2.7887,0.5586,True
KDC10_4A.csv,KDC10,Clear,4A,1.4784,2.7814,0.5315,True
KDC10_4B.csv,KDC10,Clear,4B,1.403552,2.7708,0.5066,True
KDC10_4C.csv,KDC10,Clear,4C,1.445676,2.7532,0.5251,True
KDC10_4D.csv,KDC10,Clear,4D,1.613982,2.7564,0.5855,True
KDC10_4E.csv,KDC10,Clear,4E,1.626809,2.7762,0.586,True
KDC10_5A.csv,KDC10,Clear,5A,1.442527,2.7292,0.5286,True
KDC10_5B.csv,KDC10,Clear,5B,1.364012,2.7343,0.4989,True
KDC10_5C.csv,KDC10,Clear,5C,1.399867,2.7591,0.5074,True
KDC10_5D.csv,KDC10,Clear,5D,1.529573,2.7863,0.549,True
KDC10_5E.csv,KDC10,Clear,5E,1.625627,2.787,0.5833,True
KDC11_1A.csv,KDC11,Clear,1A,1.600291,2.7498,0.582,True
KDC11_1B.csv,KDC11,Clear,1B,1.601009,2.7599,0.5801,True
KDC11_1C.csv,KDC11,Clear,1C,0.900645,1.6534,0.5447,True
KDC11_1D.csv,KDC11,Clear,1D,1.403252,2.7396,0.5122,True
KDC11_1E.csv,KDC11,Clear,1E,1.377203,2.7517,0.5005,True
KDC11_2A.csv,KDC11,Clear,2A,1.623527,2.7666,0.5868,True
KDC11_2B.csv,KDC11,Clear,2B,1.631636,2.7595,0.5913,True
KDC11_2C.csv,KDC11,Clear,2C,1.48967,2.7348,0.5447,True
KDC11_2D.csv,KDC11,Clear,2D,1.354618,2.7135,0.4992,True
KDC11_2E.csv,KDC11,Clear,2E,1.411397,2.7287,0.5172,True
KDC11_3A.csv,KDC11,Clear,3A,1.561009,2.7538,0.5669,True
KDC11_3B.csv,KDC11,Clear,3B,1.556691,2.7483,0.5664,True
KDC11_3C.csv,KDC11,Clear,3C,1.406991,2.5628,0.549,True
KDC11_3D.csv,KDC11,Clear,3D,1.538373,2.6996,0.5699,True
KDC11_3E.csv,KDC11,Clear,3E,1.552773,2.735,0.5677,True
KDC11_4A.csv,KDC11,Clear,4A,1.516155,2.7464,0.5521,True
KDC11_4B.csv,KDC11,Clear,4B,1.433636,2.7259,0.5259,True
KDC11_4C.csv,KDC11,Clear,4C,1.386942,2.7211,0.5097,True
KDC11_4D.csv,KDC11,Clear,4D,1.5727,2.7311,0.5758,True
KDC11_4E.csv,KDC11,Clear,4E,1.617773,2.7406,0.5903,True
KDC11_5A.csv,KDC11,Clear,5A,1.480891,2.728,0.5428,True
KDC11_5B.csv,KDC11,Clear,5B,1.391042,2.7227,0.5109,True
KDC11_5C.csv,KDC11,Clear,5C,1.346718,2.7003,0.4987,True
KDC11_5D.csv,KDC11,Clear,5D,1.434491,2.7112,0.5291,True
KDC11_5E.csv,KDC11,Clear,5E,1.508509,2.7236,0.5539,True
KDC12_1A.csv,KDC12,Clear,1A,1.664164,2.8126,0.5917,True
KDC12_1B.csv,KDC12,Clear,1B,1.647836,2.8004,0.5884,True
KDC12_1C.csv,KDC12,Clear,1C,1.53337,2.779,0.5518,True
KDC12_1D.csv,KDC12,Clear,1D,1.442212,2.7724,0.5202,True
KDC12_1E.csv,KDC12,Clear,1E,1.397173,2.7782,0.5029,True
KDC12_2A.csv,KDC12,Clear,2A,1.634,2.7902,0.5856,True
KDC12_2B.csv,KDC12,Clear,2B,1.598836,2.7671,0.5778,True
KDC12_2C.csv,KDC12,Clear,2C,1.412988,2.7284,0.5179,True
KDC12_2D.csv,KDC12,Clear,2D,1.3523,2.6541,0.5095,True
KDC12_2E.csv,KDC12,Clear,2E,1.477036,2.7597,0.5352,True
KDC12_3A.csv,KDC12,Clear,3A,1.617927,2.776,0.5828,True
KDC12_3B.csv,KDC12,Clear,3B,1.603455,2.7708,0.5787,True
KDC12_3C.csv,KDC12,Clear,3C,1.3349,2.4366,0.5479,True
KDC12_3D.csv,KDC12,Clear,3D,1.537855,2.7593,0.5573,True
KDC12_3E.csv,KDC12,Clear,3E,1.550545,2.7701,0.5597,True
KDC12_4A.csv,KDC12,Clear,4A,1.443206,2.7542,0.524,True
KDC12_4B.csv,KDC12,Clear,4B,1.390258,2.745,0.5065,True
KDC12_4C.csv,KDC12,Clear,4C,1.447991,2.7437,0.5278,True
KDC12_4D.csv,KDC12,Clear,4D,1.6235,2.7621,0.5878,True
KDC12_4E.csv,KDC12,Clear,4E,1.608745,2.7739,0.58,True
KDC12_5A.csv,KDC12,Clear,5A,1.447691,2.7593,0.5247,True
KDC12_5B.csv,KDC12,Clear,5B,1.371779,2.7243,0.5035,True
KDC12_5C.csv,KDC12,Clear,5C,1.309727,2.7151,0.4824,True
KDC12_5D.csv,KDC12,Clear,5D,1.371945,2.7156,0.5052,True
KDC12_5E.csv,KDC12,Clear,5E,1.462045,2.7191,0.5377,True
KDC13_1A.csv,KDC13,Clear,1A,1.672527,2.8179,0.5935,True
KDC13_1B.csv,KDC13,Clear,1B,1.610064,2.7953,0.576,True
KDC13_1C.csv,KDC13,Clear,1C,1.488191,2.7632,0.5386,True
KDC13_1D.csv,KDC13,Clear,1D,1.400358,2.7531,0.5086,True
KDC13_1E.csv,KDC13,Clear,1E,1.369355,2.7203,0.5034,True
KDC13_2A.csv,KDC13,Clear,2A,1.643636,2.7581,0.5959,True
KDC13_2B.csv,KDC13,Clear,2B,1.624227,2.7201,0.5971,True
KDC13_2C.csv,KDC13,Clear,2C,1.491536,2.7311,0.5461,True
KDC13_2D.csv,KDC13,Clear,2D,1.095736,2.1813,0.5023,True
KDC13_2E.csv,KDC13,Clear,2E,1.422773,2.7042,0.5261,True
KDC13_3A.csv,KDC13,Clear,3A,1.4962,2.7048,0.5532,True
KDC13_3B.csv,KDC13,Clear,3B,1.508645,2.6912,0.5606,True
KDC13_3C.csv,KDC13,Clear,3C,1.040691,2.0118,0.5173,True
KDC13_3D.csv,KDC13,Clear,3D,1.479109,2.7133,0.5451,True
KDC13_3E.csv,KDC13,Clear,3E,1.505555,2.7146,0.5546,True
KDC13_4A.csv,KDC13,Clear,4A,1.423073,2.7042,0.5262,True
KDC13_4B.csv,KDC13,Clear,4B,1.366009,2.683,0.5091,True
KDC13_4C.csv,KDC13,Clear,4C,1.433373,2.675,0.5358,True
KDC13_4D.csv,KDC13,Clear,4D,1.609645,2.6946,0.5974,True
KDC13_4E.csv,KDC13,Clear,4E,1.589991,2.6857,0.592,True
KDC13_5A.csv,KDC13,Clear,5A,1.372455,2.6213,0.5236,True
KDC13_5B.csv,KDC13,Clear,5B,1.3369,2.6377,0.5068,True
KDC13_5C.csv,KDC13,Clear,5C,1.355982,2.6442,0.5128,True
KDC13_5D.csv,KDC13,Clear,5D,1.469155,2.6541,0.5535,True
KDC13_5E.csv,KDC13,Clear,5E,1.546973,2.6772,0.5778,True
KDC14_1A.csv,KDC14,Clear,1A,1.646564,2.7945,0.5892,True
KDC14_1B.csv,KDC14,Clear,1B,1.642991,2.7989,0.587,True
KDC14_1C.csv,KDC14,Clear,1C,1.563855,2.7928,0.56,True
KDC14_1D.csv,KDC14,Clear,1D,1.448809,2.7745,0.5222,True
KDC14_1E.csv,KDC14,Clear,1E,1.401297,2.7731,0.5053,True
KDC14_2A.csv,KDC14,Clear,2A,1.603309,2.7785,0.577,True
KDC14_2B.csv,KDC14,Clear,2B,1.635173,2.7523,0.5941,True
KDC14_2C.csv,KDC14,Clear,2C,1.536036,2.7642,0.5557,True
KDC14_2D.csv,KDC14,Clear,2D,1.321879,2.635,0.5017,True
KDC14_2E.csv,KDC14,Clear,2E,1.404782,2.7293,0.5147,True
KDC14_3A.csv,KDC14,Clear,3A,1.539691,2.7514,0.5596,True
KDC14_3B.csv,KDC14,Clear,3B,1.522391,2.7419,0.5552,True
KDC14_3C.csv,KDC14,Clear,3C,1.057291,2.0069,0.5268,True
KDC14_3D.csv,KDC14,Clear,3D,1.523745,2.7256,0.559,True
KDC14_3E.csv,KDC14,Clear,3E,1.511236,2.7566,0.5482,True
KDC14_4A.csv,KDC14,Clear,4A,1.515391,2.7724,0.5466,True
KDC14_4B.csv,KDC14,Clear,4B,1.420327,2.75,0.5165,True
KDC14_4C.csv,KDC14,Clear,4C,1.390909,2.7212,0.5111,True
KDC14_4D.csv,KDC14,Clear,4D,1.576127,2.7075,0.5821,True
KDC14_4E.csv,KDC14,Clear,4E,1.619218,2.7307,0.593,True
KDC14_5A.csv,KDC14,Clear,5A,1.463009,2.7186,0.5381,True
KDC14_5B.csv,KDC14,Clear,5B,1.388309,2.7188,0.5106,True
KDC14_5C.csv,KDC14,Clear,5C,1.358055,2.7191,0.4995,True
KDC14_5D.csv,KDC14,Clear,5D,1.437636,2.7191,0.5287,True
KDC14_5E.csv,KDC14,Clear,5E,1.502982,2.7314,0.5503,True
KDC15_1A.csv,KDC15,Clear,1A,1.717503,2.8553,0.6015,True
KDC15_1B.csv,KDC15,Clear,1B,1.680418,2.8531,0.589,True
KDC15_1C.csv,KDC15,Clear,1C,1.5544,2.8363,0.548,True
KDC15_1D.csv,KDC15,Clear,1D,1.4729,2.83,0.5205,True
KDC15_1E.csv,KDC15,Clear,1E,1.4765,2.8321,0.5213,True
KDC15_2A.csv,KDC15,Clear,2A,1.7334,2.8438,0.6095,True
KDC15_2B.csv,KDC15,Clear,2B,1.7373,2.8404,0.6116,True
KDC15_2C.csv,KDC15,Clear,2C,1.3962,2.6069,0.5356,True
KDC15_2D.csv,KDC15,Clear,2D,1.127,2.2371,0.5038,True
KDC15_2E.csv,KDC15,Clear,2E,1.4427,2.7567,0.5233,True
KDC15_3A.csv,KDC15,Clear,3A,1.5759,2.7873,0.5654,True
KDC15_3B.csv,KDC15,Clear,3B,1.5322,2.7163,0.5641,True
KDC15_3C.csv,KDC15,Clear,3C,1.1551,2.2025,0.5244,True
KDC15_3D.csv,KDC15,Clear,3D,1.5234,2.7217,0.5597,True
KDC15_3E.csv,KDC15,Clear,3E,1.5459,2.7834,0.5554,True
KDC15_4A.csv,KDC15,Clear,4A,1.5257,2.8045,0.544,True
KDC15_4B.csv,KDC15,Clear,4B,1.3108,2.5876,0.5066,True
KDC15_4C.csv,KDC15,Clear,4C,1.423,2.6742,0.5321,True
KDC15_4D.csv,KDC15,Clear,4D,1.654591,2.7482,0.6021,True
KDC15_4E.csv,KDC15,Clear,4E,1.653736,2.7613,0.5989,True
KDC15_5A.csv,KDC15,Clear,5A,1.4412,2.7503,0.524,True
KDC15_5B.csv,KDC15,Clear,5B,1.397827,2.7343,0.5112,True
KDC15_5C.csv,KDC15,Clear,5C,1.375945,2.7159,0.5066,True
KDC15_5D.csv,KDC15,Clear,5D,1.444155,2.7073,0.5334,True
KDC15_5E.csv,KDC15,Clear,5E,1.446182,2.7127,0.5331,True
KDC16_1A.csv,KDC16,Clear,1A,1.7081,2.8501,0.5993,True
KDC16_1B.csv,KDC16,Clear,1B,1.660836,2.8363,0.5856,True
KDC16_1C.csv,KDC16,Clear,1C,1.517255,2.8163,0.5387,True
KDC16_1D.csv,KDC16,Clear,1D,1.427836,2.8086,0.5084,True
KDC16_1E.csv,KDC16,Clear,1E,1.400233,2.799,0.5003,True
KDC16_2A.csv,KDC16,Clear,2A,1.693273,2.8179,0.6009,True
KDC16_2B.csv,KDC16,Clear,2B,1.650155,2.8029,0.5887,True
KDC16_2C.csv,KDC16,Clear,2C,1.528236,2.7828,0.5492,True
KDC16_2D.csv,KDC16,Clear,2D,1.206512,2.4308,0.4963,True
KDC16_2E.csv,KDC16,Clear,2E,1.425982,2.7882,0.5114,True
