dish_id,group,mean_ratio,sd_ratio,n,pe_flag_n
KDC1,Opaque,0.4914,0.014,25,25
KDC10,Clear,0.5443,0.034,25,25
KDC11,Clear,0.5467,0.0308,25,25
KDC12,Clear,0.5435,0.0336,25,25
KDC13,Clear,0.5461,0.0328,25,25
KDC14,Clear,0.5453,0.0306,25,25
KDC15,Clear,0.549,0.035,25,25
KDC16,Clear,0.5458,0.0355,25,25
KDC17,Clear,0.5482,0.034,25,25
KDC18,Clear,0.5427,0.034,25,25
KDC19,Clear,0.5438,0.0349,25,25
KDC2,Opaque,0.5237,0.0223,25,25
KDC20,Clear,0.5378,0.0319,25,25
KDC21,Clear,0.5458,0.0346,25,25
KDC22,Clear,0.5382,0.0384,25,25
KDC23,Clear,0.5428,0.0334,25,25
KDC24,Clear,0.5413,0.0344,25,25
KDC25,Clear,0.54,0.0316,25,25
KDC26,Clear,0.5447,0.038,25,25
KDC27,Clear,0.538,0.0351,25,25
KDC3,Opaque,0.5197,0.0119,25,25
KDC4,Opaque,0.511,0.0134,25,25
KDC5,Clear,0.5926,0.0312,25,25
KDC6,Clear,0.5213,0.0343,25,25
KDC7,Clear,0.5438,0.0342,25,25
KDC8,Clear,0.5401,0.0339,25,25
KDC9,Clear,0.5448,0.0343,25,25
KDY1,Yellow,0.5334,0.0294,25,25
KDY10,Yellow,0.5108,0.0237,25,25
KDY11,Yellow,0.5166,0.0253,25,25
KDY12,Yellow,0.5152,0.0288,25,25
KDY13,Yellow,0.5218,0.0289,25,25
KDY14,Yellow,0.5201,0.0309,25,25
KDY15,Yellow,0.5108,0.0247,25,25
KDY16,Yellow,0.5106,0.0262,25,25
KDY17,Yellow,0.5086,0.0253,25,25
KDY18,Yellow,0.5108,0.0264,25,25
KDY19,Yellow,0.5038,0.0265,25,25
KDY2,Yellow,0.4997,0.0321,25,25
KDY20,Yellow,0.5158,0.0256,25,25
KDY21,Yellow,0.5105,0.0257,25,25
KDY22,Yellow,0.515,0.0231,25,25
KDY23,Yellow,0.5101,0.0246,25,25
KDY24,Yellow,0.5068,0.0247,25,25
KDY25,Yellow,0.5075,0.0244,25,25
KDY26,Yellow,0.5054,0.0248,25,25
KDY3,Yellow,0.5042,0.0251,25,25
KDY4,Yellow,0.5099,0.0306,25,25
KDY5,Yellow,0.5168,0.0295,25,25
KDY6,Yellow,0.5151,0.0256,25,25
KDY7,Yellow,0.5124,0.0258,25,25
KDY8,Yellow,0.5094,0.0247,25,25
KDY9,Yellow,0.5146,0.0247,25,25
QC,Unknown,0.5454,0.0069,18,18
